review_date,handle,rating,helpfulness_rating,Counterfeit,review
24-Nov-20,JYM,5,2,0,"This mask is an excellent alternative to the N95, since those masks are reserved for our health care workers. N95 masks have been made to protect the wearer from dangerous particles containing viruses that might cause infections This KN95 mask has multi layered protection (I cut it apart to view the inside).  It consists of cotton and layers of “meltblown” polypropylene fibers that form a porous and breathable network. Fibers are said to be electrostatically charged to help block smaller particles that might slip through the holes.  This will protect the wearer  and can also prevent infectious droplets from being transmitted to others. These masks are comfortable because they are lightweight.  Also, the ear loops are thicker than other KN95 masks I have purchased in the past, and therefore don't bind behind my ears. But what I value the most in these masks is the fact that they fit my petite face better than most of the other KN95 masks I have, which are too large. Therefore, they form a better, more proper fit, preventing air leaks around the edges.  I am so impressed with these masks that I just purchased another package of 10.  Also, the price seems to be better than some of the other KN95 masks on the market."
30-Jan-21,Janna,4,One,0,"I plan to use these masks underneath a cloth mask for extra protection. Before wearing, I performed a couple of informal tests to determine their efficacy. First, I did the Bill Nye Science Guy TikTok test where you try blowing out a candle with the mask on. The flame didn't budge no matter how hard I blew or how I tilted my head. The flame stayed rock steady. Second, when I breathed in and out, the mask collapsed around the cheeks. This is another good indication that air cannot enter the mask from the sides. Third, only a small amount of light passes through the mask when held up to the sun or a light. Finally, I still did notice some fogging up of my glasses despite the nose wire strip but to me this is to be expected as no mask is going to be 100% airtight. I put my cloth mask on over the Powecom KN95 mask and felt confident in the extra layer of protection. My only ""gripe"" is that the ear loops felt a bit snug and the mask itself when compared to my old cloth-only mask is definitely a little less soft on the face. However I only plan on wearing the masks for brief periods of time (less than an hour) so any discomfort should be tolerable. The most important feature of the mask is the extra safety provided. I would definitely consider buying these masks again once this supply runs out."
28-Jan-21,M S,1,3,1,"Very uncomfortable.  The elastic pulled my ears. I don’t have a big face. More importantly, I don’t believe these are n95’s.  Too much air goes through the mask. I can smell through it. Additionally, they are all loose in a bag with one fold over side with a tiny sticker to keep it closed.  It’s not sanitary.  I tried scanning the QR code on the sticker. It wouldn’t work. Complete waste of money.  I won’t use them."
3-Feb-21,Andres M.,5,2,0,"As a professional who has been wearing protective equipment for over 30 years I give this mask five stars for comfort and quality. My last KN95s were genuine 3M masks made in China the I was able to get through a friend who is a doctor in Beijing. The 3M fit was too tight, even after wearing the same mask for months to the point that I could not tolerate it after one hour and had to take breaks to remove it. I have worn this mask for couple of hours at once and it was comfortable.  I agree with other reviewers that it will not fit a large face properly. If you know you have a big face do not waste your time or money buying these masks (I am not even sure you can get a large one). The 3M was a tiny bit bigger but I have not seen 3M masks in the regular market, my (chemicals) company is having difficulty getting 3M protective gear these days. I have attached two pictures so you can compare the Powercom to the 3M one which is the standard of the American industry. I overlapped them so you can compare sizes better, the Powercom is on top of the 3M one. And best yet, the Powercom only cost about one dollar and you do not have to buy fifty at a time to get a very decent price."
14-Sep-20,Graham,5,4,0,"I wear one of these for cycling.  I'm in California, so right now I definitely appreciate the smoke filtering as well as the COVID-19 filtering! The fit feels somewhat different from the surgical masks I'd used before.  These masks ""tent up"" over the mouth, which I prefer when I'm cycling, as it feels a little less claustrophobic than having a sweaty mask press on my mouth.  The mask fits snugly and seems to be sealing well around the edges. I've checked the FDA website myself.  The masks aren't on any ""bad"" lists.  Instead these masks are on the ""Authorized Imported, Non-NIOSH Approved Respirators Manufactured in China"" list.  That means they are FDA authorized, but they haven't been specifically NIOSH tested. I'm generally happy with what I'm seeing.  I plan to buy more of these."
22-Jan-21,Phillip C Lee,5,3,0,"We've tried a lot of masks, cloth, paper, etc- and for us these are by far the best. My wife is a teacher so we really needed to find something that was good quality, fits snugly, but is not right up against your mouth so its easier to communicate.  There is one important issue however that several reviewers have discussed: these are small masks. My wife is 5'1 and I'm 5""10. Both of us have fairly small facial features, so the fit was perfect. When I put one on for the first time, I have to stretch the elastic out a bit, but then it fits fine. If you have an average to larger head, these may be too tight! I highly recommend for smallish featured people. In order for the best protection, you need to find a mask that fits very snugly- but at the same time you don't want your ears to hurt after prolonged time, so I realize that makes it difficult. We initially purchased the minimum 10 as a test, and just placed a large order today that should last us for months."
1-Sep-20,Asian-gem,1,8,0,Terrible fit around ears - straps too small!!
17-Feb-21,Nat,1,2,1,"I ordered a set of these masks in early January and everything was fine; when I did the anti-fake check verification process on Powecom's website, the numbers, color of the numbers, and QR code all matched exactly. I ordered another set of these masks a few weeks later in late January and a number of things seemed a little off. The masks looked slightly different, the anti-fake check number was MUCH easier to scrape off the package to see (it had been very hard to do this with the first, genuine, masks that I ordered), and most importantly, when I did the anti-fake check verification process, while the numbers claimed it was a verified set of masks, the color of the numbers and the QR code that Powecom's website showed did NOT match the color of the numbers and QR code on the package. This seems very fishy and that the second order of masks is counterfeit. Which is very disappointing! Amazon refunded my purchase but I really just want some genuine masks like I ordered the first time."
8-Feb-21,Amazon Customer,1,3,1,"Buyer alert! This is not a genuine Powecom mask. There is no anti-fake label on the back of the package. When entering the sequence number in the back of the package to the manufacturer's website, it shows as error. No ""Powecom"" prints on the actual mask as it shows on Amazon product page or on the manufacturer's website. The mask is tiny! You can see the difference between the product with the other kn95 mask I have on hand. The very right is the other kn95 I have. The middle one is the so claimed Powecom mask. The left is the back of the package that was sent by Amazon. The mask is tiny. It smells weird. Some sort of chemical smell that makes me dizzy. I am certain that this mask is fake and not going to put it on my face."
28-Jan-21,Brett Saylor,4,One,0,"One very important quality of these KN95 masks is knowing that they are not fake or counterfeit. The package comes with an anti-fake label that you can use to verify they actually came from the Guangzhou Powecom Labor Insurance Supplies factory. It has numbers printed on a label hidden by a rub-off coating like a lottery ticket uses, - you rub off the coating, check the numbers on the factory's website, and verify the masks are not fake..However it is VERY difficult to rub off the coating and the numbers are VERY small. It took a great deal of fiddling to rub off the coating but, in my case, the numbers do check out on the factory's website, so the masks are likely legit. I have NOT worn the masks yet, so don't have any feedback about comfort or durability. But they look ""OK"" - not like the old 3M N95 masks you used to get for a buck or two at the hardware store. But now that we are being told to ""double mask"" for protection I am happy to be able to get these."
28-Nov-20,Dr. Chicklet,1,One,1,"The manufacturer listed was Guangzhou Powecom Labor Insurance Supplies Co., Ltd. which is on the approved FDA list reissued on 10/15/20, so the masks if they are from there are legit.  However, the powecom website lists ways that the authenticity of the masks can be determined. The biggest one is an ""anti-fake"" or anti-counterfeit label on each package.  Mine didn't come with one at all.  Completely fake.  I'm returning this for a refund. Another problem is that I tried one of the masks on before checking the authenticity.  It felt wearing like fiberglass. I had the mask for 20 seconds and I got an allergic reaction to it. Please don't try one on until you've verified that the masks you ordered are legit. Update 2/6/21:  Since I returned these I was able to source authentic powecom KN95 masks that had the anti-fake sticker with numbers that were found on the website.  The difference between the 2 while wearing is instantly noticeable.  Please be careful when buying these masks."
27-Oct-20,Teddy,2,2,0,"These have a good filtering material and are pretty comfortable to wear but having used several n95 brands these come up short next to all of them in protection simply because it’s nearly impossible to get a good seal on the face. The bands on the Ear are not tight enough unless your ears were on the back of your head, a clip to pull them farther towards the back of head would help in this area however. The hardest place to seal with masks is around the nose which is why the best masks always have some sort of foam or rubber type seal to help form around the nose. Even making the perfect shape with the metal strips to your nose without enough force applied or a good sealing foam or rubber strip you can’t expect good protection if a large portion of the air you breath in and out simply goes around the filtering material, and additionally if you wear glasses they will fog up without a seal. So until they fix the sealing issue these are probably about as good as a banana or cloth covering but if you really want to protect yourself and others look for a mask with some sort of seal for the nose and if the straps are on the ears instead of behind the head you should get a clip or something that can pull it tighter to the face unless it’s a very tight strap to begin with. Still these are better than nothing, stay safe, stay healthy."
25-Jan-21,tn,5,4,0,"I always wear these when I am shopping or indoors somewhere like the doctor's office. They are thick and have very fine ""pores"" so no (or few?) germs can get in. Happy with this product. Also fits snugly on the face so no germs are sneaking in the sides which sometimes happens with the three-ply ones. I feel safe wearing these."
20-Feb-21,Luke,5,One,0,"Started a new job that is currently remote, but had to train in the office for the first week. The gal who trained me my last day in office came down with COVID symptoms that evening and tested positive the next day. I was in the same room with her for nine hours. I wore this mask that day, and did not get COVID during my two weeks of self-quarantine after. This mask prevented me from catching COVID. Have read that these KN95s are about the best face masks you can get outside of being a healthcare worker. They’re not as good as the N95s I’m sure, although they seal around your nose and mouth much, much better than the regular flimsy surgical masks. These can get uncomfortable, especially around your ears and nose during extended use, although I would definitely take that over getting COVID any day. I’m really disappointed these seem to be sold out for now, and luckily I bought extras when I did. If and when these come back in stock, buy them! They can save you from getting COVID!"
29-Jan-21,KatieBee,1,2,1,Well which one is the counterfeit? Mask on left arrived to one house 2 days ago but the code I entered on Powecom is not valid; has 4 layers. Mask on right arrived to our other home today. Sticker code matches Powecom website but does not have the Powecom embossing on the mask. Also 4 layers. Neither has the same fusing design. Both have a sticker SKU code (same SKU) over the original SKU. So what’s the deal? Are neither real? Neither mask has round fixtures where the ear bands attach. Buyer beware!
20-Oct-20,sj,3,4,0,"I’m torn. These are on the FDA approved list, and they’re not on any banned lists as some review claims. They are quite comfortable. The authentication checks out. They seem really good...but the review that say light shines through thinner areas are also correct. It does shine through, and not on a part of the mask that presses against your face, the thinner parts are right across the breathing parts of the face. It doesn’t seem right. I am not sure if they will work as hoped or leave gaps for virus to sail through. Would the person with the microscope please take a look at those thinner channels?"
22-Dec-20,RRR,5,One,0,"Before i review the mask i have to say the seller Innovate is awesome. Stupid USPS lost another package for me and their customer service would not help. Amazon contacted Innovate and they messaged me quickly and after verifying USPS lost it they shipped me another one free of charge with FedEx. Most sellers would ship it back with USPS but they went the extra mile. The masks have a good seal, are very comfortable to wear, and easy to breathe in. These are definitely thicker and better than the standard surgical masks but the 3M N95 masks may be a bit thicker but those are reserved for essential workers. I would definitely recommend them. The only criticism i have would be that i wish it was maybe a 1/4 inch longer on the bottom so it doesn't slide off the chin if you move your head a lot."
3-Oct-20,Anne,1,5,1,These are not kn95 masks. They are extremely small and very thin. I have a small face and they fit me but for most adults will be too small. Have to add an additional face mask to feel confident I have the needed protection.
29-Jan-21,diamonddave247,5,One,0,"Okay, so let me share what I believe about these masks. This is just my opinion based on what I've seen and read online. Powecom has been manufacturing these masks in China for some time now. Way before Covid-19 was around, and way before exporting masks to countries all around the world. In that time, there have been many different packages for these very same masks. Some of the older packaging states: ""Non-medical"" written under the KN95 label, newer packaging was created around May of 2020 and has: ""GB2626-2006"" written under the KN95 labeling (see attached photos). The newer packaging MAY or MAY NOT have the anti-counterfeit sticker to help identify fake products. A single pack of 10 masks would most likely have the sticker, but if the single pack of 10 was part of a large case of 12 packs, or an even larger case of 120 packs, the anti-counterfeit sticker would have been placed OUTSIDE THE LARGER BOX ONLY, and NOT on the individual packs found within the case (as per Powecom's website info). Since most 3rd party sellers buy items in bulk or in cases, it is to be expected that a single pack of 10 would NOT have a sticker on it. In any event, the sticker still DOES NOT guarantee you have purchased a genuine product, and the lack of a sticker DOES NOT mean you purchased a counterfeit, either. The best way to tell if your item is of good quality and genuine is to compare the design itself to the pictured product found on Powecom's website. Counterfeits will not look exactly like the company's product, and differences can be pretty easily detected. Keep in mind that the genuine printed logo on the mask, may be a different color, or have slightly different wording, but it may still be a Powecom KN95 mask. What you really want to compare is parts of the actual design and features of the mask itself. Not just the logo. Recent buyers have also complained about cheaper mask ""quality"" and ""feel"" as possible indicators of a counterfeit mask, but keep in mind that due to the pandemic, and high demand, and lack of resources, and available work force, some of the product finishing quality may have been sacrificed in an effort to produce more masks quickly. It is even possible that a protective layer may have been dropped (from 5 layers to 4 layers) in this same effort. This layer removal may have reduced the filtration efficiency from as high as 99%, down to an acceptable and advertised level of 95%. Still quite effective against a virus. I'm not a mask expert, nor do I claim to be, but I only share these observations in an effort to help others better determine whether they have a genuine mask or a counterfeit, and clear up some confusion. If you have doubts about your purchase, by all means, arrange to return your masks for a refund and for a product you trust. I'm confident that I've purchased and received genuine Powecom KN95 masks on 3 different occasions from Amazon.com. Again, this is just my opinion, for whatever it's worth. Stay safe and stay healthy."
28-Jan-21,RestWeb,1,3,1,"The masks I received are counterfeits. The real masks have printed logo and rating, as shown by product images. The received masks have KN95 stamped into the side, no printed ratings, and no holographic seal on the bag. The bag itself looks real, as do the instructions inside, but the 10 masks are counterfeit. Sold directly by Amazon.com."
7-Feb-21,aaradia,1,One,1,"I was happy with this product, thinking I did my research. But I went on here today to re-order and realized my package did NOT have the anti-counterfeit sticker. So, I used it yesterday and another time thinking I was being safe, but I may have put my life at risk using a counterfeit product. If they are not legit, they look exactly like the pictures. Green writing stamped on mask and all. It may be I got the legit product. But since it didn't have the sticker, I can't trust that. The headband style I ordered DID have the anti-counterfeit sticker. I verified them. So I ordered another package of those. Just got off chat with Amazon. Getting my money back. But that doesn't change the fact that I put my health at risk trusting Amazon to not have counterfeit products. My order was fulfilled by Amazon. They promised to escalate my concern. I hope to hear they are going to take additional safety measures regarding getting real product ordered."
22-Nov-20,Me,3,2,1,"My masks matched the picture and look legit. But on the serial number check I got the message ""Hello.The security numbers were already checked.The first query time is at 2020-11-23 00:27:34. These numbers were already verified by 3 times. Beware of fake product IF previous checkings were Not done by you."" I'm not sure what to make of it. It's hard to know if I have the real thing and some other fakes are using this same serial number or if mine are fake."
6-Feb-21,REBECCA,5,,0,"Efficacy: I researched this this as well as I could. Google CDC.gov testing results Powecom Labor KN95 mask. Their results indicate that this mask provides the claimed filtration. Note that presence on the FDA list doesn't mean approval (or disapproval)  and that CDC test ratings don't indicate NIOSH approval or lack thereof.  NIOSH hasn't approved (or disapproved) any KN95s at this point. These ARE approved in Europe. Home tests: I was unable to even make a lighter flame flicker and no water passes through so it passed those tests. Comfort and fit: I'm used to my very excellent 3 layer mask with filter from New Zealand and these aren't as comfortable. I had to fiddle to keep air from escaping on the sides and around the nosepiece, but eventually figured out how. If I were a front line worker (I'm not - just want to be as protected as possible when I can be when I do go out) I'd combine this with a good cloth mask. For me it's more comfortable with one underneath anyway as the edges are kind of scratchy.  I think it's a good guess that that combo is quite protective and for my purposes probably overkill. Unless the new super-contagious COVID strain gets roaring. From what I can figure out from reading these are probably fairly equivalent to N95s. Some articles from reliable sources quoted doctors who are using KN95's and trust them - two such sites provided a link to this particular  model as authentic.  Nothing's certain in this new world, but I'm thinking these are authentic and effective."
28-Jul-20,Deb G,5,7,0,Nice masks. My wife says That they fit great.
1-Feb-21,Shinjaejun,3,One,1,"I ordered 2 of these. 1 bag was genuine with anti-fake label and masks with green print only. The 2nd bag had no anti-fake label and the masks inside were a bit different with kn95 stamped into the mask which the real ones didn't have. The real ones don't fit tight enough. American made real n95 will leave a dent in your face if fitted properly. These Chinese ones have a slight gap at the top no matter what I do, so air escaped and fogs my glasses. I have to use ear loop adjusters to get the mask tight enough around the rest of my face. I do not have a small face, and these are definitely not kid sized. Will be returning the fakes, probably won't buy again because it's a crapshoot."
24-Feb-21,CrosshairXFiDew,3,,0,"NOT tight around nose as claimed... ""Metal strip"" is very thin Have used multiple masks... I prefer over head and back of head straps... This is behind ear... Typically I have to get large hats as my head is average, perhaps little larger then average. However this mask feels a bit loose... If I go for a good walk outdoors it gets very damp inside the mask in the winter... And my glasses fog up REAL bad. It is packaged very nicely... Elastic seems fairly decent quality Again - it does not hold tight on my face... And if breathing heavily from a very fast walk... It will slide down my nose (basically making it useless for any kind of physical activity). One nice thing... It folds flat... Thus easy to carry with me... Vs the ""dome/circle"" design of other masks... Thus .. I would ONLY recommend this as a ""failsafe"" mask in a car... Purse... Etc... As while it is better then the generic blue ""imitation surgical masks""... Better basically just means it is shaped a bit like a face... Vs a rectangle. Long story short.... Not comfortable, not tight seal even on larger heads, slides down easily... But is very portable... So... Better then nothing, but I will stick with my ""dome/sphere"" shapes ones that actually seal fairly well"
8-Sep-20,Sean E.,4,4,0,First off a positive. Very comfortable. I’m 6’ 215 and they fit me well. A little tight on ears but from experience it’s to be expected with some masks. It’s the thickness/quality I question. Very light weight almost too much so. And to the touch are very thin compared to others I have. Now the secret maybe in the material but to the eye test not impressed with thickness. I’ll wear but won’t be my go to.
24-Feb-21,Barbara Krall,4,2,0,"I read at least one comment that these are a good fit for a smaller face (5'1"" petite female, 120 lbs), so based on that and all the other info, I bought 20 masks.  I was slightly disappointed that the masks are a bit bigger than anticipated, certainly slightly bigger than other KN95s I've used.  Ear loops are a tad too long, had to knot elastic for a tighter fit.  Sides of masks don't fit as snugly as other KN95s, so I'm downgrading overall to 4 stars. Otherwise quality and construction is excellent, but based on fit, I will probably not order these masks again.  If you are bigger than me, mask will probably fit just fine. It works well to layer the Powecom over a pleated blue surgical mask."
2-Oct-20,Phil,1,4,1,These are COUNTERFEIT. Do not buy them. They are different packaging than the real Powecom and are missing the verification seal. SCAM.
11-Mar-21,P. Kingsriter,4,,0,"I work in healthcare and have been exposed to dozens of masks and respirators in the last year.  This mask appears to be a great value with one caveat.  First, the good: Good:  They fit a variety of face sizes and shapes well, getting a good seal around the edges that is snug, secure, but relatively comfortable.  Using a flashlight test for thickness, they're pretty robust, blocking more light than several layers of cloth and double a standard paper mask.  You'll not be able to blow out a candle with this mask on, so it blocks the movement of air well, too.  I would venture to say that these masks are a good alternative to ""double-masking"".  They're also significantly more comfortable than a standard ""N95"" (but probably don't provide the same high-level of filtration). The not-so-good:  The ear loops are uncomfortable.  They produced significant headaches after several hours of wear.  We had to purchase ear loop extender straps (which work great) in order to make these masks wearable. Overall, they provide a good value and (I would guess) decent filtration.  Just be prepared to pick up some ear loop extensions to go with them."
28-Sep-20,Bobby L,5,One,0,"I have done a lot of research on various masks, and I have to say I really love these. Not only are they on the FDA Emergency Use list, but they also have the nice feature of the anti-counterfeit tag on the package. They are also extremely comfortable on the face. Light weight, yet you feel very secure that it's thickness and filtration rate. It fits securely enough so that you feel the mask inhale & exhale. It's very breathable, and can be worn for extended periods without feeling like you need air. Price is also very affordable too. Seems like about the next best thing to an N95 that you can get out there when you consider the quality and price."
14-Nov-20,Teresa Alvarez,3,3,1,"I have used KN95 masks, so I have to say that these specific masks that I received, felt like a copy cat of the real KN95. It is too thin, and poor smoke filter. During wildfires and dust storm, this masks left me down."
18-Feb-21,Nidan Jutsu,5,,0,"I thoroughly researched before purchasing these. We've been cleaning and reusing them with the ""sous vide"" function and our Instant Pot via the U.S. government method. I checked our pics with the various ones here, and they are genuine. We run the 30 minute cycle sometimes 2 or more times per day. I am going to order another pack (and check for authenticity.) We are going to put the recleaned ones in a separate zip loc bag with a hash mark for every 10 cleaned (you could clean them up to 20X with original filtration effectiveness.) We used to wear face shields, but we are confident wearing these with homemade face masks -- even though it's not recommended to combine KN95 with other masks. Mine seals tightly to my face, and I can feel it adhering to my face when I suck in. It seems a bit big for my wife's face, though (she is a 5' 0"" Filipina / petite)-- so she puts it over her homemade mask. I loosely put my homemade mask over this one -- careful not to have it change the shape or seal -- which is oh so critical."
22-Nov-20,VJ,2,One,1,"I purchased this mask for two reasons: 1) The pictures on Amazon show the mask having sealed seams on the front instead of semi-transparent holes/squares (like most other KN95s on the market). See the photo in this review. 2) It has a verified filtration rate by the CDC’s lab affiliate, NPPTL. I was extremely disappointed because the masks I received have the semi-transparent holes on the front instead of the sealed seams. I received them the day before I needed them and had no time to order from a different manufacturer. This seller needs to update their photos on Amazon."
18-Feb-21,M. W. Clayton,1,2,1,"ABSOLUTELY NOT KN95 MASKS!!!! SEE PICTURES!!!! NOT JUST FALSE ADVERTISING BUT POTENTIALLY DEADLY LIE!!!! Not even close to those pictured!! There are so many holes in these masks, they can't even be used for dust or smog! Picture with my finger clearly showing behind the row of holes directly inline with your nose so you can see that it's an actual hole!! Seller does not accept returns so 20 masks that are completely useless!!"
27-Nov-20,Dana W.,1,2,0,"I have used several packages of these KN95 masks, and found them to be very functional and a good fit for my smaller face. Last week, I received another 10-pack. The masks I received are smaller, a tighter fit, the ear loops are thicker and less springy, the mask does not pass air well at all, there is a stronger (than usual) odor, and  my face immediately developed a rash. Fortunately, a couple days later, I received another 10-pack I had ordered a couple of weeks ago that were not Prime shipped, and so took longer to get to me. The masks in that package are like the ones I have been using, except that there is no orange manufacturer's label on the face of the mask. In comparing the two shipments, the differences were very clear. I hope that Amazon can quickly get to the bottom of this issue, and be able to continue supplying safe KN95 masks. Still, BUYER BEWARE."
4-Apr-21,Saoirse,3,,0,"So, I bought these because I work in a restaurant and I am around maskless customers all shift. I was hoping for a mask better than the cloth ones I had been wearing. However, these caused my face shield, and glasses when not wearing the shield, to fog up, which shows they are not filtering effectively. Some of my cloth masks do this, too, and some don't. So I started wearing one of these and one cloth mask together, and most of the time this has been effective at stopping the fogging up problem as long as I wear contacts with the shield and not my glasses (happens I forgot my contacts the other day and it was a pain- shield and glasses kept fogging bad no matter if I wore just one mask, or both). Would I buy these again? Probably not... I am going to keep looking for a good mask that seals well and doesn't cause fogging. The earloops were a bit tight and caused my ears to be a bit sore at the end of my shift, not as bad as some masks I've worn, but uncomfortable nonetheless."
3-Sep-20,primerdame,5,2,0,"This mask was real and verified. It arrived sooner than expected. The mask fits very well and right to my face but does pull on my ears. But, I will take a little ear soreness over COVID or the flu any day! I was easily able to walk at my normal fast pace for 8+ hours even with some of those hours daily in 90+ heat and never felt out of breath. I find it works better than my fit tested 3M N95. I would buy more just to have extra but I have enough."
2-Dec-20,An astute shopper,5,,0,"Do NOT believe any negative reviews! I just received my second order of 10 of these masks just to have on hand for the future when needed.  They fit beautifully..... no matter the size of your face.  I actually make knots on the elastics around the ears so it fits a bit tighter.  My husband finds the size perfect. We are both tall, big people, so if anyone says they are for good for only a small face, that is total nonsense.  I feel these fit much tighter to the face than the cheap blue non-medical masks which you see all over.  I have plenty of those too, but now that I found these, I feel these are more effective!  It says they are currently unavailable for order, but keep checking and see if they come back. I'm doing that myself because as soon as I see they are back, I'll order my third package of 10!!! The first batch I got was $25 and the second was only $17!!! BUY ASAP!!! I am a hugeeeee Amazon shopper and have written many reviews for those products that I love and recommend with no ulterior motive whatsoever!!!!"
25-Aug-20,Nemo,1,7,0,not as good a quality as items costing half as much.
9-Sep-20,R. SELIG,4,2,0,"These masks with over-the-ear laces have an air space before the face which reduces the breathing problems I have found with other N95 masks.  It must be remembered however that plain masks are intended to stop the wearer from spreading infection to others.  They do not offer protection to the wearer.  For that, a shield, an impermeable,  physical barrier is required."
16-Dec-20,Repro63,5,,0,"I am not a doctor, nor have any way to prove that these work better the anything else. I have read up a lot on masks and safety. The KN95 masks are supposed to provide a really good level of safety from airborne or air transmitted diseases. They are on the governments list for emergency use and for that, they are approved. I checked it out. The masks come packaged and have a hologram seal with production lot information, date and manufacturer. It all looks official and safe. You can really tell the difference when wearing them. They seal around your face and nose, and you can feel the resistance when breathing through them. I have lots of the cheap hospital masks left over, and as a precaution, I wear them over the KN95 masks as an additional barrier. Can't hurt. The masks can be re-used. Once they produce an odd smell when I put it on, I dispose of it and get a new one. I feel better wearing them and can recommend them as well. I give them 5 stars."
21-Aug-20,Coffee Ghost,5,3,0,Now this is a great mask and cheaper then I though it would be. The cloth masks and non medical mask are so thin sometimes I worry they are protecting me enough. This is a great quality mask and it’s verifiable as a genuine guaranteed product for KN95. Would recommend for an extra layer of safety.
24-Jan-21,Jesse & Elizabeth,5,4,0,As comfortable as your going to get. It’s good if it’s right fitting and making marks on your face. I am not very knowledgeable on KN95 masks but it’s better than nothing and might be the closest we’ll get to N95’s
24-Nov-20,I tried it,1,One,1,"Really disappointed in this product that has so many high reviews! Complete waste of money! It's simple, if your glasses fog then air is leaking out, if air leaks out it can come in. If unfiltered air can come in so can the droplets that carry the viruses we are trying to avoid. The reinforcement wire for shaping around the nose is very weak and has no foam to provide a better fit and prevent leaks. Also they're extremely thin material compared to real N95 masks. You might as well wear the cheap blue procedural masks if you're only worried meeting the mask mandate. These aren't any better IMO."
1-Feb-21,CM,5,One,0,"Fit is good. Ear loops feel only a little snug after wearing for a while. I can alleviate that with detachable straps. These appear to be authentic. I confirmed on the FDA website that Powecom is an approved K95 supplier and verified the QR code on the package seal. I did a little test with a lit match to see if the ""holes"" that people keep commenting on are really open. They are not. I could not blow out the flame from 2 inches away, whether inhaling or exhaling heavily. The ""holes"" are obviously just seals where the layers are compressed."
15-Dec-20,Simon,5,,0,"Other Amazon reviews state that the PoweCom KN95 masks are not good or not on the US government emergency list or failed test.  Only partially correct.  A set of PoweCom KN95 masks did fail a test; However other sets were tested and did PASS the test!  The CDC list can be confusing to read and the Chinese names can get a little confusing. The materials and the construction of the PoweCom masks that I received appeared to me to be of very good quality.  The masks fitted me very tight,  perhaps a little too tight around my ears.  Fit probably depends on where your ears are on your head.  I do not know if the masks is available in different sizes.  I would estimate that the size was a 'small' or 'medium'.  If you are taller or big person, the masks maybe a little small for you.  Check to see if other sizes are available, i.e. large. Would recommend and purchase again."
4-Feb-21,Bobbo,4,2,0,"Definitely on the approved list: Appendix A: Authorized Imported, Non-NIOSH Approved Respirators Manufactured in China (Updated with Administrative Changes or Respirator Model Removals: October 15, 2020.) Listed as:  Guangzhou Powecom Labor Insurance Supplies Co., LTD Shape gives my lips and nostrils room to breathe. Nose bridge forms well keeping glasses from fogging. Tight ear loops keep the mask snug around the sides making it effective in filtering out junk.  Problem is that my poor ears are sore by the end of the day.  I wish that KN95’s offer around the head bands like real N95’s."
1-Jan-21,I. Mori,1,5,1,"These KN95 masks are fake.  No authenticity scratch-off seal, no printing on the mask indicating it's a KN95, just  a pack of 10 plain white masks.  Will be returning."
29-Sep-20,Scott West,5,2,0,"I have been wearing masks since before they became  popular and these are by far the best! I just re-ordered more today. I am considered ""high risk"" due to medical conditions including the need for oxygen 24/7.  They fit perfectly to my face even with my oxygen canula. The ear loops are soft so they don't irritate. There is plenty of room inside and my glasses don't get foggy. They arrived earlier than expected so that was a plus and the customer service is outstanding. I highly recommend this product! UPDATE: Just received my second shipment and the quality remains! Great mask, great value!"
2-Sep-20,Reviewer,1,5,1,They just colapse onto themselves when you put them on. Really crappy. Their “QR” code is a farse.
26-Jan-21,Gemma Sunnergren,2,5,0,"Package was open and only contained 9 masks - not 10.  Not exactly reassuring as to cleanliness, let alone not getting all the masks I paid for."
29-Sep-20,Darion,5,2,0,"Purchased these and got an email from the seller on how to verify them with a unique code on the pack; it verified they are authentic. I'm not a mask expert, but they feel well made. Keep in mind these are made to be disposable; I bought them for high risk situations (indoors/air travel/etc) and will throw them out after use. Stay safe!"
15-Dec-20,John Wesley Rattner,1,2,1,"Consumer Labs has a warning about counterfeit masks. Everything on the outside of the package seemed to meet their standards, the certification, etc., but when opened I discovered that the masks did not have the certification was printed on them as CL said. That is, on the outside of the package you'll see ""STANDARD: GB2626 -2006 KN95"" but the masks do not have the colored print stating the same standard."
10-Dec-20,Donald Balfour,5,,0,"This mask fits tight and comfortable.  You can tell it's doing a good job, and has held up exceptionally well.  Since sunlight kills all bacteria related to any virus, after getting in my car after wearing it somewhere, I set it on my dash board and the sun disinfects it as I drive to my next destination.  If you take care of it, regardless of people saying you should discard often, this mask holds up well, and if you keep it clean by not throwing it just anywhere, you'll keep it for weeks or more before it's not usable.  I've used mine for almost a month, it's clean, sun disinfected, and still like new. It's got the higher KN95 rating so you know you're getting great protection.  Don't be disturbed because its make in China, almost all masks worn for the past twenty years have been made there, and these are quality well made.  Just my experience, hope my review helps."
29-Sep-20,Peter A. Butzin,5,One,0,"My understanding is that KN95 masks ""attempt"" to meet FDA requirements for N95 masks. I would have preferred purchasing genuine N95 masks, but they are unavailable. So, these ""made in China"" are the only alternative. There is no way for me to confirm that they are as effective as N95 masks, but, since this is the best available, I'm hoping that they work. If I don't check back in a few months due to the pandemic, consider that I died and would no longer recommend the product."
